follower_id,following_id,follow_date
4832,4867,2025-05-01
3236,2807,2025-03-29
1339,890,2024-01-22
2844,3117,2024-06-07
397,837,2023-11-16
1880,3949,2025-02-23
2669,723,2024-10-30
3429,4453,2025-03-25
196,2094,2025-05-08
567,3159,2023-10-18
307,2218,2024-07-05
4432,2834,2024-06-12
1517,3107,2024-05-30
1383,4633,2024-01-29
1275,160,2025-04-17
3502,1554,2024-09-26
3776,701,2023-10-12
2390,3824,2024-07-22
3046,2737,2023-12-14
185,1439,2024-01-07
1788,1682,2023-10-22
3973,2326,2023-11-03
3478,3862,2025-01-17
4703,3632,2024-07-09
980,1914,2023-09-11
3739,1974,2024-09-16
1110,3318,2025-02-25
1940,1010,2024-06-07
258,146,2024-04-21
3920,2558,2024-12-30
1358,4124,2024-02-04
3946,2807,2024-08-30
457,1995,2024-06-06
4780,537,2024-10-30
1737,2416,2024-04-03
3828,4723,2025-06-05
492,4230,2023-09-02
3618,929,2024-05-31
4265,3799,2025-01-25
3898,594,2024-08-08
1674,653,2024-04-19
3232,87,2024-12-23
539,1963,2023-07-20
909,1020,2023-10-10
2827,3654,2023-12-25
641,941,2023-08-07
1445,200,2023-10-18
3140,1806,2025-05-13
3617,4608,2025-01-26
1020,2458,2023-08-17
4767,2413,2023-08-26
3584,3810,2024-07-21
52,4223,2025-06-13
464,4276,2025-01-25
2675,1526,2024-01-22
599,1066,2023-11-05
2246,2637,2025-04-04
2899,1389,2025-05-26
3179,3720,2023-12-15
1234,4814,2025-02-19
3635,4010,2025-01-09
2701,2569,2025-05-07
4889,4680,2023-12-20
27,3257,2025-05-07
4375,3209,2025-03-07
2252,4135,2023-09-25
786,294,2024-01-16
2123,2869,2023-09-17
4877,2642,2025-06-26
2489,161,2023-10-01
1219,823,2024-09-14
19,4401,2025-03-12
2023,1793,2024-12-10
971,223,2024-11-15
2562,4439,2024-02-12
3165,4934,2023-12-22
3108,1334,2024-04-05
1257,199,2024-04-13
4023,3969,2025-04-05
1151,889,2024-09-11
3128,686,2023-10-24
1921,432,2024-05-17
3494,4009,2023-11-22
1530,2290,2024-09-22
4637,814,2025-04-09
3573,3899,2025-04-27
3550,4891,2025-03-21
3230,368,2024-11-08
1662,3061,2024-06-12
326,2036,2025-05-27
4469,3652,2024-04-04
4093,4151,2025-06-22
4452,1371,2023-08-13
557,3482,2024-02-28
3291,823,2024-05-30
4903,3234,2024-03-03
3717,4473,2023-10-04
3612,1430,2025-02-14
980,4755,2024-08-08
4357,1608,2024-07-07
3370,3482,2025-04-17
2938,338,2025-06-14
1730,2422,2023-10-01
690,661,2024-08-08
4054,2767,2024-09-22
484,3655,2024-10-23
1444,725,2025-02-05
2483,4369,2024-10-18
4602,3245,2023-11-23
589,264,2024-05-17
3048,726,2024-11-04
3947,3820,2024-01-19
980,2780,2024-06-20
2016,4001,2024-02-13
4649,818,2025-04-07
4566,1765,2023-09-15
4380,488,2025-03-26
3392,754,2023-11-04
3874,3199,2023-12-18
1773,1747,2025-05-20
1964,3643,2025-02-01
1219,2363,2024-11-05
117,3262,2024-12-25
8,1018,2024-02-02
2483,1160,2024-02-21
3811,3611,2024-10-29
520,4547,2023-09-29
4493,4047,2024-03-27
3715,1745,2023-10-04
4496,304,2023-12-11
2401,727,2023-11-13
4675,568,2024-05-20
621,876,2023-12-11
3434,3692,2023-10-27
2916,1009,2025-03-26
108,2282,2024-09-14
2133,2902,2025-02-01
2731,3742,2025-03-07
4812,3337,2024-04-26
390,2219,2025-01-06
4858,787,2025-03-19
3526,3719,2023-07-13
4043,4193,2023-07-04
1438,1588,2024-10-06
1817,1546,2024-01-03
608,1685,2024-07-06
3225,2044,2024-03-07
3271,4076,2023-10-19
2490,488,2023-10-19
4328,2599,2024-07-15
699,1214,2025-03-31
674,4187,2025-04-14
319,343,2023-09-18
3430,3044,2023-09-28
2462,1368,2024-05-08
4294,4905,2024-05-21
4582,1244,2024-09-18
2888,4540,2025-04-14
3877,1391,2025-04-03
4619,3754,2024-09-05
1762,2783,2024-11-18
3633,1028,2024-09-06
2900,4066,2025-01-29
2344,1729,2025-04-08
2378,616,2023-09-24
973,3424,2025-01-18
377,1849,2023-09-17
4103,3616,2024-05-22
1135,3625,2024-07-28
2649,2754,2023-10-04
4325,3590,2024-03-24
1886,3198,2024-10-07
3792,1232,2024-07-07
2960,3338,2025-04-12
4489,2624,2024-01-12
2985,246,2024-12-10
3248,2055,2023-07-31
2363,4589,2024-08-29
1320,175,2023-09-04
1825,4623,2024-02-04
2673,3061,2023-09-07
2095,543,2025-03-03
3281,1838,2024-12-15
3075,735,2024-08-02
2385,1330,2024-08-18
2197,2933,2023-08-19
963,2983,2024-05-22
2917,1250,2024-01-17
3933,2163,2025-04-06
1431,7,2024-05-17
867,4272,2024-04-02
2517,686,2023-09-21
4020,1275,2023-11-04
1340,3758,2025-03-19
4117,4536,2024-09-20
4040,2835,2024-03-28
2835,4459,2023-11-21
4238,3995,2024-12-27
549,3032,2023-12-21
2012,3142,2025-01-02
3992,3716,2025-03-19
2751,4634,2025-04-14
3926,4170,2024-04-22
172,2068,2024-04-04
987,222,2024-08-01
1566,2850,2024-10-07
616,2497,2025-01-02
1735,3411,2024-11-18
4175,1641,2025-06-14
1917,3169,2024-09-28
4311,4866,2023-08-11
3103,3212,2025-04-25
4812,1797,2024-08-21
4847,2000,2024-12-22
1877,3403,2023-10-02
4171,1810,2025-06-25
3819,4418,2024-05-30
3275,814,2023-09-29
1675,4038,2024-09-13
4540,1151,2025-05-15
4418,4606,2024-05-06
1705,3585,2024-11-08
2314,3695,2023-11-21
4270,4944,2024-04-11
3384,386,2023-10-16
4962,4667,2023-08-26
3852,3936,2024-09-15
1151,3400,2025-03-03
2485,2803,2024-10-17
3215,2099,2024-03-29
1834,2493,2024-09-05
4198,3060,2024-02-23
845,324,2024-01-19
3910,3133,2023-07-10
4940,4557,2023-10-22
2851,1853,2024-12-01
1065,1145,2024-06-20
1777,4460,2023-12-19
877,1177,2025-03-09
2722,668,2023-09-09
4910,2422,2024-09-02
1414,4302,2025-01-23
2648,3848,2024-07-06
4767,2863,2024-08-13
3882,922,2023-07-10
4772,188,2024-12-14
3094,514,2024-10-25
4950,2609,2024-10-18
839,1114,2023-09-09
2202,1605,2023-09-03
4628,896,2025-01-26
228,2284,2024-10-10
2843,74,2024-11-13
1612,4143,2023-09-29
4036,3610,2024-05-21
779,1097,2023-12-31
4983,96,2023-07-18
1103,1066,2024-02-13
62,800,2025-05-22
469,4294,2025-01-24
773,307,2025-01-15
718,2435,2024-07-12
771,3160,2023-08-12
3283,3031,2023-12-15
3210,2193,2023-09-20
1032,1699,2024-04-15
2977,1965,2024-10-16
2549,2076,2024-02-05
2048,3298,2023-10-11
3839,2091,2024-02-27
798,595,2025-03-21
3782,4386,2024-03-12
3261,4034,2024-04-29
3177,4618,2023-12-09
1778,530,2025-02-14
1810,2150,2023-10-19
4926,4378,2024-06-26
774,1953,2025-03-13
1209,3699,2023-10-21
827,2281,2023-07-20
4391,3725,2023-08-31
1869,745,2024-02-27
235,1570,2025-06-12
1836,382,2023-07-19
3409,448,2024-07-27
1008,217,2023-07-09
4370,3203,2024-10-17
716,4675,2024-09-11
1031,1515,2025-05-15
502,3092,2025-06-24
2015,139,2024-01-16
789,3819,2024-05-21
3342,4756,2024-11-13
4074,4191,2024-01-19
917,1789,2024-07-12
1324,4669,2024-07-05
1581,497,2025-05-31
3947,2949,2024-04-07
1367,4005,2025-03-19
4884,3427,2024-05-31
4174,4801,2024-04-06
4336,584,2025-01-31
235,4434,2024-10-04
3928,4109,2024-05-04
3309,1090,2023-09-14
2109,2721,2024-10-27
3326,4257,2025-03-18
286,3257,2024-10-08
3253,1620,2023-08-30
3587,3782,2024-11-21
2448,4316,2024-06-15
3568,1451,2025-05-13
466,1452,2024-04-05
4924,626,2024-07-17
4502,117,2024-10-05
2734,35,2023-11-03
1264,2352,2023-09-30
1729,3335,2024-02-01
4792,2609,2023-10-17
4303,1306,2023-10-18
4018,1796,2025-03-30
2875,922,2023-07-17
2806,2910,2024-04-03
893,2502,2023-11-12
3848,3009,2023-09-02
3740,4465,2023-09-13
2517,4616,2023-08-28
599,485,2023-09-07
2801,2696,2025-06-21
3730,4909,2025-05-23
1592,4172,2025-02-21
1214,3091,2025-03-24
2378,416,2024-07-11
4520,2440,2024-01-06
2525,4424,2023-10-05
1135,58,2024-07-11
3617,316,2024-07-26
2399,3260,2024-02-08
1200,1773,2024-07-25
4674,1861,2025-04-02
4849,1835,2024-10-13
897,4010,2024-10-16
4759,4620,2024-04-28
4047,4191,2024-09-14
2093,1800,2024-04-22
449,4245,2024-11-03
2304,3090,2023-07-11
4499,3761,2023-12-02
4364,3077,2024-07-03
1902,3111,2024-06-23
2170,490,2023-07-29
2263,1717,2024-10-11
3948,199,2024-02-01
916,4734,2025-03-11
1476,3406,2025-05-28
2929,1939,2023-07-12
4325,1528,2023-09-06
4092,3862,2024-03-03
2427,3447,2024-10-26
2968,2965,2023-08-08
2950,743,2023-11-29
1453,1760,2025-06-18
943,199,2024-01-10
2675,2837,2023-12-13
3846,2002,2024-06-26
3137,760,2024-11-13
4621,3396,2024-02-26
1178,2465,2023-10-29
100,2899,2025-02-09
1806,3580,2023-09-23
3713,4640,2023-12-11
2662,3527,2024-03-08
502,3181,2025-03-12
3824,1257,2024-07-28
185,1776,2025-02-19
2402,2361,2023-10-14
1972,4790,2024-06-21
3876,4207,2024-02-16
2071,1040,2024-05-30
4535,1924,2025-05-24
3473,689,2023-10-31
2906,3792,2023-11-22
4667,2468,2024-08-05
4250,249,2025-02-27
2669,647,2024-02-06
1686,3798,2024-11-24
2221,145,2024-05-08
2917,1379,2024-12-06
1993,3661,2024-12-23
1860,2938,2025-03-27
1119,4597,2024-04-29
3823,2208,2025-01-04
3266,1749,2023-11-23
734,1640,2023-11-24
938,2039,2024-09-14
2173,3882,2024-07-08
896,2484,2023-11-03
4370,2887,2025-02-16
4734,4546,2025-06-23
2894,3597,2024-12-01
2984,4497,2024-05-17
4266,2809,2023-11-12
1795,349,2023-11-07
536,3260,2025-01-20
4183,1188,2024-03-26
1266,3001,2024-10-07
4472,1786,2024-09-10
4092,437,2024-06-17
3747,4446,2023-12-26
4340,1722,2025-02-04
4050,2182,2024-03-02
218,4513,2024-09-14
1108,3260,2025-06-04
1789,1765,2023-10-24
4494,4185,2024-11-20
87,1514,2024-12-11
238,2556,2025-01-14
2556,4365,2025-01-06
4804,836,2024-05-22
1963,3412,2025-06-22
4237,1241,2024-09-20
465,4567,2025-03-01
2512,1646,2024-02-03
962,655,2024-02-18
3581,1177,2023-08-15
179,2553,2024-06-01
3867,213,2024-12-06
2319,3151,2024-01-04
4149,2395,2024-04-18
2524,503,2023-12-02
3602,3381,2024-04-09
4722,1167,2025-02-19
3597,451,2023-08-03
2701,1484,2024-11-17
977,1602,2023-10-10
2583,4372,2023-12-24
4409,4408,2024-12-30
689,985,2023-12-18
1254,3011,2024-05-14
2783,2762,2023-10-25
2075,1106,2025-02-23
808,829,2024-08-14
1211,436,2025-05-31
3201,1075,2025-05-09
2810,4053,2024-10-12
985,4123,2024-06-20
1570,1713,2024-12-18
4613,3969,2025-01-20
1551,1814,2023-07-12
4206,2515,2024-05-06
884,675,2025-02-09
350,4474,2025-01-20
1814,2184,2025-06-02
2965,4056,2024-08-03
3209,3149,2023-09-20
528,3468,2025-05-26
1189,2970,2024-08-30
373,3631,2024-12-04
2234,4963,2024-08-20
2485,1720,2023-07-29
3369,4002,2025-04-28
1422,3330,2023-07-22
2664,3881,2024-01-23
3889,883,2023-07-11
4006,2303,2023-08-25
2444,4493,2024-07-27
2025,1264,2024-07-08
3822,4373,2023-12-01
2813,2279,2023-12-06
848,3488,2025-02-14
2812,4682,2024-12-02
3452,1626,2025-04-15
3313,645,2025-03-08
4313,4292,2025-04-21
1946,2885,2024-04-01
4577,2725,2024-04-08
1028,3352,2024-04-24
3824,4884,2024-03-08
3345,1430,2024-02-07
2633,3081,2023-07-16
2773,233,2024-10-24
173,4885,2024-10-10
2016,2507,2023-08-13
462,2512,2024-06-13
2748,3431,2025-06-08
1291,3286,2024-11-19
3095,774,2024-12-12
1115,4894,2024-08-11
949,4559,2024-05-26
4649,3515,2024-05-11
695,3357,2025-05-21
3769,4311,2025-05-28
4113,807,2025-02-07
975,2462,2024-03-18
4304,1979,2023-08-31
771,322,2025-04-02
4006,1080,2024-07-17
2517,4288,2023-11-22
3377,3025,2025-02-02
19,1587,2024-01-09
2126,1790,2024-01-24
2703,634,2023-07-21
1890,1110,2024-01-21
4307,2309,2024-07-12
637,2294,2024-10-27
1581,4897,2024-02-15
1221,3685,2024-08-05
4336,4215,2024-12-22
1078,300,2024-06-04
1156,1540,2023-07-03
251,3675,2023-07-16
3542,250,2025-01-28
2450,1419,2024-08-09
3543,1435,2023-12-10
4835,214,2024-04-10
3251,1767,2025-04-27
3288,2131,2025-06-21
1298,2768,2024-12-16
1425,653,2025-05-10
813,1813,2024-01-11
2298,823,2023-10-03
2165,634,2024-07-08
2425,2539,2024-12-13
1946,1688,2023-09-14
4304,1144,2024-08-29
1561,1122,2025-04-09
685,4113,2024-03-04
772,1810,2024-12-17
1291,3774,2025-01-15
755,1909,2023-10-24
751,3597,2024-12-21
4368,3967,2023-12-10
3539,1922,2024-09-15
1557,822,2023-12-30
653,634,2024-04-16
4015,576,2024-07-29
2280,4047,2024-07-31
2965,2137,2025-06-03
2871,70,2024-06-27
3798,3106,2024-03-17
4868,4384,2024-03-28
3671,2267,2025-06-08
2396,2917,2024-04-20
3510,2673,2023-08-19
550,2237,2023-07-27
3423,2369,2023-07-28
1059,1557,2023-12-08
2666,3609,2024-04-11
1712,661,2025-01-01
2252,622,2023-09-07
391,2315,2025-03-31
389,863,2024-04-10
512,3482,2024-06-04
523,852,2024-12-22
4386,788,2023-11-12
3307,1077,2025-06-02
3985,3691,2024-04-01
1516,450,2023-09-05
2458,2181,2024-05-06
3369,2454,2024-09-02
1225,3573,2025-06-18
2939,4737,2024-12-20
1494,3148,2025-06-21
4071,4065,2024-12-29
959,4957,2024-10-25
3742,4769,2023-11-22
2822,2645,2024-04-10
3175,2981,2024-06-30
1676,3778,2024-09-18
1983,3278,2023-08-11
1921,4043,2024-02-29
4844,1524,2024-07-26
4645,149,2023-08-06
4916,1957,2023-12-20
1396,1111,2023-09-16
425,2165,2025-04-27
2803,3750,2023-12-21
4038,2063,2024-11-02
2811,3657,2023-10-24
753,492,2024-04-28
2127,2994,2024-12-12
456,4698,2025-03-21
2500,227,2024-03-02
98,3341,2023-08-02
2963,1388,2023-11-02
2932,2202,2024-04-02
3016,1453,2024-05-06
2079,267,2024-12-15
4786,4860,2024-02-23
4238,4283,2024-08-04
4016,4073,2024-05-13
4971,2798,2024-11-30
3014,2450,2023-08-13
3969,4517,2023-10-22
1362,2958,2024-10-03
3196,1570,2023-11-06
1319,3701,2024-11-16
868,2229,2024-07-16
716,2566,2025-05-23
937,443,2025-05-25
929,3842,2025-03-31
1593,2869,2024-09-16
4743,4702,2024-03-17
3102,2175,2024-05-05
2952,670,2024-04-19
2249,1738,2024-03-24
735,1141,2024-05-10
281,2286,2024-03-22
1004,2306,2023-10-20
4635,3060,2024-12-17
1708,2351,2025-04-17
4214,508,2025-06-19
3609,3836,2024-12-16
922,4095,2023-08-20
53,2374,2025-05-25
3394,1332,2024-09-26
3702,4358,2024-09-03
2560,3667,2025-03-03
902,3511,2024-05-01
114,3308,2025-03-08
1891,2547,2024-04-30
373,1644,2024-12-01
4079,4226,2023-08-01
3506,2934,2023-08-09
1650,3426,2024-01-31
876,313,2025-05-26
4231,4417,2023-08-10
1253,2768,2024-05-29
3623,4810,2024-08-31
4281,2067,2025-04-25
4223,542,2024-02-08
3846,4420,2024-12-18
2703,4490,2025-05-25
983,4895,2024-01-24
3183,3213,2025-03-10
2315,2857,2024-11-15
4960,1316,2025-03-07
4302,3987,2023-10-14
1078,4260,2023-07-14
3301,2246,2023-12-02
4142,4288,2024-01-11
3666,2887,2023-11-26
4287,1506,2024-12-04
841,2747,2024-07-12
59,908,2024-11-19
438,3012,2024-08-29
2371,3609,2024-02-11
4084,2981,2024-05-21
53,3487,2024-09-24
1513,4692,2025-06-12
2106,1507,2024-07-26
2158,3016,2024-01-21
2562,2160,2025-05-10
3265,4896,2024-12-04
851,3944,2025-06-15
1967,3444,2023-07-02
488,4619,2024-10-21
926,1492,2025-05-24
3666,193,2024-01-28
2289,4509,2025-02-10
934,1290,2025-02-20
1161,4586,2024-07-28
1610,4488,2025-02-21
1091,2737,2024-12-15
264,431,2024-07-22
4045,310,2024-06-30
2976,2040,2025-04-09
4747,3019,2024-12-20
4178,2018,2024-11-23
3868,1594,2024-07-16
3317,2195,2025-01-27
1836,201,2024-02-28
4054,1493,2024-04-01
3589,1104,2023-10-04
1422,211,2023-08-17
3938,1038,2024-03-08
4029,2740,2024-11-23
1819,1618,2025-04-11
839,741,2025-04-20
2256,2785,2024-08-15
1145,1077,2024-09-26
2970,539,2023-08-12
853,2071,2024-08-11
4851,2709,2025-05-28
211,103,2024-03-16
2354,2169,2025-04-02
3345,1544,2024-11-06
3401,1188,2025-03-01
4209,1339,2025-01-27
345,2968,2024-03-12
4728,1074,2025-01-28
1693,3138,2024-10-31
1936,4911,2023-09-02
3826,1981,2025-06-04
4121,4789,2023-08-08
899,727,2024-02-03
92,731,2023-10-31
2491,2636,2023-08-04
274,3084,2024-01-19
2219,4917,2023-09-25
3584,4137,2024-11-19
3843,3498,2023-12-15
1962,3658,2024-01-19
41,2301,2023-09-27
796,675,2025-03-15
675,792,2024-06-26
4092,3032,2024-05-11
1581,4678,2023-12-13
2118,26,2025-03-16
1551,3278,2024-07-12
1708,3748,2024-09-27
1599,1911,2024-04-01
4015,1419,2025-01-17
4472,2176,2025-05-16
4545,4022,2024-11-25
1665,2751,2024-10-29
4404,3289,2024-07-01
4925,2416,2024-09-28
4439,4760,2023-10-17
2354,2482,2023-11-10
1089,1461,2025-02-01
4675,3020,2024-05-22
4929,1265,2024-04-05
3298,3584,2025-05-10
3636,1278,2025-04-29
3784,2044,2024-05-09
3790,561,2025-01-01
1801,3387,2024-07-07
4642,1421,2025-03-01
755,4436,2025-01-16
2677,647,2025-01-02
3190,4578,2025-06-13
3478,8,2023-08-22
59,4470,2024-12-25
866,1310,2024-03-16
4861,2799,2024-06-11
4158,3762,2023-11-20
4994,2824,2024-02-16
962,2107,2024-03-05
469,2086,2024-02-24
3681,600,2024-04-02
4570,32,2024-05-24
1634,94,2024-11-17
1735,1372,2024-03-06
2378,2800,2025-04-14
2584,2583,2025-02-10
2221,3734,2025-05-24
3802,3419,2024-03-13
636,1921,2025-02-18
4096,4687,2024-06-21
3096,3760,2024-06-30
1322,219,2023-07-18
2993,1898,2025-02-06
1921,4422,2023-12-02
3798,1489,2024-09-18
4815,1878,2025-01-06
541,3772,2024-09-06
1770,1341,2023-11-05
2025,4337,2024-09-28
1302,386,2024-01-18
4881,159,2024-11-17
4734,3703,2025-06-23
4570,991,2024-11-04
308,466,2023-09-16
1365,886,2025-02-19
3684,4373,2024-09-07
3927,1551,2023-10-02
1178,1733,2024-08-22
2731,4414,2024-11-08
596,4433,2025-04-29
4216,4795,2024-05-01
2363,2103,2024-09-19
453,3345,2023-11-09
3280,2071,2024-03-06
1061,4425,2024-08-28
3354,575,2024-03-30
2526,4370,2024-06-07
651,3740,2023-11-08
1581,1462,2024-04-30
3621,380,2025-03-21
3520,2277,2024-11-07
4014,485,2023-10-18
1842,3256,2024-02-18
3682,834,2025-01-15
1188,4357,2024-04-29
3593,59,2025-02-13
1116,1516,2024-03-31
1762,3437,2025-02-23
2401,228,2025-03-15
1124,1761,2024-02-21
4425,2954,2025-06-09
4750,1903,2024-10-21
2255,4438,2024-07-16
131,3215,2025-03-21
3019,1355,2023-12-24
1735,532,2024-09-22
39,2494,2024-11-10
4102,1431,2024-09-08
970,62,2024-11-28
1963,3129,2025-04-22
2431,278,2023-08-16
106,167,2024-08-28
1010,4052,2023-11-06
1737,4032,2025-03-08
2796,952,2024-11-15
2487,4554,2023-10-24
446,2064,2024-08-04
3973,3375,2024-08-09
3719,587,2024-07-27
4728,98,2025-05-25
229,3987,2023-08-22
3626,4387,2025-05-28
2373,3255,2024-01-24
722,4908,2024-10-21
1718,374,2024-03-07
361,2418,2023-09-01
3690,4044,2024-12-31
993,57,2024-02-22
2131,3574,2024-08-10
4508,1892,2025-01-17
277,807,2025-01-27
1799,3048,2025-06-25
2650,3283,2025-06-06
2839,613,2025-03-28
4114,781,2024-12-14
3678,839,2024-03-25
3063,830,2024-03-18
2321,1976,2023-07-18
844,2329,2024-01-08
900,1053,2024-09-09
4889,1317,2025-05-07
1902,3190,2025-05-18
4516,4726,2024-05-31
4031,3338,2024-05-21
2513,613,2025-04-22
4515,434,2024-03-12
1955,2270,2023-08-10
4048,2047,2024-06-21
4989,4006,2024-07-31
